question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Torre,Médio,5.637087985989638,2767,0.0023396,AC,1.512966022011824,33,0,0,0,0,33
Capitais,Difícil,44.07107631498366,8780,0.0114293,WA,0.5238210299867205,5,33,0,0,0,38
Chocolate em barra,Fácil,3.5243667869945057,1969,0.0010932,AC,0.0486004760023206,28,0,0,0,0,28
Fita Colorida,Médio,10.55014756199671,2950,0.0026271,AC,0.0652215339941904,31,0,0,0,0,31
Fila_2015,Difícil,46.31832232500892,10284,0.0133304,TLE,15.0,7,0,0,23,0,30
Quebra-cabeça,Médio,6.86520311498316,2419,0.0018605,AC,0.6291888220002875,24,0,0,0,0,24
Prêmio do Milhão,Fácil,2.8209701500018127,1939,0.0011405,AC,0.0419263540243264,20,0,0,0,0,20
Móbile_2015,Fácil,2.322869252995588,1617,0.0008732999999999,AC,0.0919906249910127,30,0,0,0,0,30
Família real,Médio,8.664202899992233,3097,0.0027384,AC,0.0726418499834835,15,0,0,0,0,15
Mina,Médio,8.403768196993042,2775,0.0023815,AC,0.4555029459879733,40,0,0,0,0,40
Cálculo,Médio,17.22924860799685,5099,0.0055035,WA,0.0524929100065492,26,3,0,0,0,29
Cobra coral,Fácil,27.658770383015508,6129,0.0075178,AC,0.0391161009902134,25,0,0,0,0,25
Letras,Médio,867.8203920500237,257253,0.3842506,NO CODE,0.0,0,0,0,0,0,64
Arquivos,Médio,7.257443634007359,2328,0.0018787,AC,0.2006707709806505,32,0,0,0,0,32
Código,Fácil,2.749596870999085,1687,0.0008821,AC,0.0519875730096828,28,0,0,0,0,28
Gomoku,Médio,6.611808379006106,3071,0.0018167,AC,0.0508215320005547,30,0,0,0,0,30
Jogo da Vida,Médio,3.8365238269907422,2932,0.001772,AC,0.4026216939964797,19,0,0,0,0,19
Muro,Médio,544.2135501669836,169062,0.2521526,NO CODE,0.0,0,0,0,0,0,41
Lâmpadas do hotel,Fácil,6.745818227995187,2424,0.0018342,AC,0.0652244339871686,54,0,0,0,0,54
Chinelos,Médio,3.8893516450189054,2221,0.001375,AC,0.0380838029959704,16,0,0,0,0,16
Hotel,Fácil,14.705608120013494,4956,0.0055659,AC,0.0520516819960903,30,0,0,0,0,30
Jogo dos copos,Fácil,5.356238897977164,2451,0.0016888,AC,0.2608134370238986,50,0,0,0,0,50
Carnaval,Fácil,2.685501564992592,1788,0.0010206,AC,0.2606220140005462,40,0,0,0,0,40
Tiro ao Alvo,Médio,37.629125039995415,8177,0.0102271,AC,0.6775951349991374,41,0,0,0,0,41
Transportes,Difícil,23.884351029992104,7103,0.0074552,TLE,15.0,80,0,0,27,0,107
Álbum da copa,Fácil,2.997257187991636,1942,0.0010995,AC,0.1047501910070423,25,0,0,0,0,25
Jogo de Dominós,Fácil,4.0402640140091535,1786,0.0010371,AC,0.0725685659854207,42,0,0,0,0,42
Arco e flecha,Difícil,12.819302670977777,3310,0.0029422,RE,0.1506076500227209,0,0,39,0,0,39
Quadrado Mágico,Fácil,7.5474712410068605,2966,0.0027213,AC,0.0530051590176299,20,0,0,0,0,20
Quase primo,Médio,13.490087309008231,3825,0.003976,WA,0.6899318799842149,0,63,0,0,0,63
Lâmpadas,Fácil,4.961232754983939,2063,0.0014214,AC,0.1679263120167888,40,0,0,0,0,40
Caça ao Tesouro_2002,Difícil,4.721697479020804,2751,0.0016201,AC,3.127932368981419,9,0,0,0,0,9
Rodovia_2013,Difícil,24.91716354599339,5238,0.0058901,AC,0.1727476849919185,78,0,0,0,0,78
Coleção de Upas,Médio,6.065148402994964,2350,0.0016088,WA,1.0455963870044798,11,31,0,0,0,42
Cinema,Fácil,7.939988222002285,1597,0.0009122,AC,0.0592888639948796,20,0,0,0,0,20
Fila,Médio,6.555484379990958,2254,0.0015584,AC,0.2470965499815065,44,0,0,0,0,44
Montanha,Fácil,3.722897642001044,2098,0.0013517,AC,0.0832717129960656,33,0,0,0,0,33
Chuva,Médio,16.936734952003462,5158,0.0059131,WA,0.2995451040042098,1,39,0,0,0,40
Festa olímpica,Difícil,44.16613666800549,11106,0.0145023,TLE,15.0,21,0,0,13,0,34
"Pô, que mão",Fácil,4.893812522990629,2100,0.0014158,AC,0.1269703389843925,120,0,0,0,0,120
Relógio,Médio,36.0818263280089,8395,0.0106867,AC,0.1184513870102819,52,0,0,0,0,52
Mesa redonda,Fácil,5.341192869003862,2711,0.0021698,AC,0.0745299510017503,65,0,0,0,0,65
Sorvete,Médio,7.73868886299897,2761,0.0019692,AC,0.1769225489988457,10,0,0,0,0,10
