question_name,difficulty,llm_code_creation_time,total_tokens,cost_prompt,judge_predict,execution_time,AC,WA,RE,TLE,CE,total_test_cases
Caça ao Tesouro_2011,Médio,8.204704716999913,1500,0.00645,AC,0.0375310370000079,22,0,0,0,0,22
Gomoku,Médio,3.0242657910000617,1780,0.006725,AC,0.0416582090001611,30,0,0,0,0,30
Notas da Prova,Fácil,1.3192395549999674,886,0.0029525,AC,0.0413453749999916,20,0,0,0,0,20
Jogo da Vida,Médio,3.582488812000065,1819,0.0080975,AC,0.1351697269999476,19,0,0,0,0,19
Muro,Médio,2.967746709000039,2300,0.0076625,WA,0.058217065000008,3,38,0,0,0,41
O Chefe,Médio,5.697049360999927,1959,0.010235,AC,0.798543989999871,28,0,0,0,0,28
Proteja sua senha,Médio,3.7303700340000887,1454,0.00711,WA,0.0240574160000051,5,5,0,0,0,10
Chinelos,Fácil,3.4085007160001624,1005,0.003925,AC,0.0318785869999374,16,0,0,0,0,16
Jogo dos copos,Fácil,3.998196567999912,1155,0.0046875,AC,0.0578977309999118,50,0,0,0,0,50
Tiro ao Alvo,Médio,3.511261126999898,1169,0.004785,AC,0.3437790680000034,41,0,0,0,0,41
Robô_2021,Médio,3.038355465999757,1131,0.0041775,AC,0.0751737099999445,50,0,0,0,0,50
Transportes,Difícil,9.985383994999664,2649,0.01671,AC,9.910790346999876,107,0,0,0,0,107
Jogo de Dominós,Fácil,1.3932849719999467,686,0.002065,AC,0.0730053699999189,42,0,0,0,0,42
Arco e flecha,Médio,7.431057839000005,1392,0.0087175,RE,0.9647605109998948,7,0,32,0,0,39
Móbile,Médio,3.883639726999718,1906,0.00769,WA,0.1731132429999888,102,1,0,0,0,103
Campo de Minhocas,Fácil,3.028848339999968,1203,0.004745,AC,0.0518961929997203,20,0,0,0,0,20
Entrega de Caixas,Fácil,2.384903153000323,887,0.0029675,WA,0.0408829490002062,17,5,0,0,0,22
Cinema,Fácil,1.845175265999842,518,0.001995,AC,0.0419248190000871,20,0,0,0,0,20
Montanha,Médio,1.7926818430000822,918,0.0032825,AC,0.0428228730002047,33,0,0,0,0,33
Torre,Médio,3.0086050859999887,980,0.0046125,WA,0.5338258150000001,0,33,0,0,0,33
Mesa redonda,Fácil,5.202593003000402,956,0.0032775,AC,0.0754643929999474,65,0,0,0,0,65
Pizzaria,Fácil,1.6484177990000717,949,0.00271,AC,0.0224778249998962,10,0,0,0,0,10
Redes de Descanso,Médio,2.6243832679997467,1158,0.0040575,AC,0.2138436330001241,35,0,0,0,0,35
Mancha,Médio,5.303027382999972,2081,0.010365,AC,0.3009861820000878,30,0,0,0,0,30
Escher,Fácil,5.292783023000084,867,0.0033425,WA,0.0915692839998882,46,8,0,0,0,54
Nova avenida,Fácil,2.679822176000016,975,0.004275,WA,0.0903798999997889,1,11,0,0,0,12
Game Show,Fácil,6.38798212499978,1091,0.0034525,AC,0.0429005189998861,25,0,0,0,0,25
Manchas de pele,Difícil,4.55998932600005,1344,0.0074725,AC,0.5879845230001592,61,0,0,0,0,61
Castelos da Nlogônia,Médio,3.839555320000272,1364,0.00656,AC,0.0678300710001167,36,0,0,0,0,36
Capitais,Difícil,3.744221859999925,1088,0.0065325,AC,0.3078429619999951,38,0,0,0,0,38
